"","Close"
"1",15.42
"2",14.64
"3",14.22
"4",13.05
"5",16.23
"6",23.52
"7",23.379999
"8",18
"9",18.530001
"10",22.870001
"11",22.5
"12",26.200001
"13",26.540001
"14",25.610001
"15",20.790001
"16",17.83
"17",23.950001
"18",22.940001
"19",20.65
"20",39.389999
"21",59.889999
"22",55.279999
"23",40
"24",44.84
"25",46.349998
"26",44.139999
"27",36.5
"28",28.92
"29",26.35
"30",25.92
"31",26.01
"32",25.610001
"33",30.690001
"34",24.51
"35",21.68
"36",24.620001
"37",19.5
"38",17.59
"39",22.049999
"40",32.07
"41",34.540001
"42",23.5
"43",26.049999
"44",23.700001
"45",21.200001
"46",23.540001
"47",17.75
"48",19.530001
"49",18.35
"50",17.74
"51",14.75
"52",15.45
"53",16.52
"54",25.25
"55",31.620001
"56",42.959999
"57",29.959999
"58",27.799999
"59",23.4
"60",19.440001
"61",18.43
"62",15.5
"63",17.15
"64",24.059999
"65",17.08
"66",18.93
"67",17.469999
"68",15.73
"69",18.6
"70",15.87
"71",18.02
"72",14.38
"73",15.51
"74",12.7
"75",13.52
"76",16.299999
"77",16.860001
"78",13.45
"79",17.01
"80",16.6
"81",13.75
"82",13.7
"83",13.72
"84",18.41
"85",14
"86",13.88
"87",13.41
"88",11.4
"89",11.57
"90",16.950001
"91",12.09
"92",16.309999
"93",14.03
"94",13.33
"95",19.200001
"96",20.969999
"97",13.34
"98",15.29
"99",14.55
"100",13.84
"101",18.23
"102",12.12
"103",28.43
"104",24.5
"105",15.07
"106",16.129999
"107",18.209999
"108",20.200001
"109",20.549999
"110",13.95
"111",15.7
"112",14.19
"113",15.63
"114",11.87
"115",13.42
"116",13.29
"117",17.059999
