"","Google-Uncertainty IT-Raw","Google-Uncertainty IT-Cleaned","Reuters-Uncertainty IT-Raw","Reuters-Uncertainty IT-Cleaned"
"2007-02-01",25,20.2986667410106,0.037505474,0.0433083089105521
"2007-03-01",21,23.4638286865453,0.028970039,0.042983848106064
"2007-04-01",18.5,17.0039848941274,0.026233936,0.0247531098427901
"2007-05-01",24.5,23.7519609107283,0.025651207,0.0345348700599594
"2007-06-01",23.5,21.0249354507314,0.020435631,0.0319866051108849
"2007-07-01",21,19.8472469785158,0.019328869,0.0279589030164445
"2007-08-01",21.75,27.9195570098648,0.007020747,-0.00794490759382698
"2007-09-01",21.75,22.544154084137,0.014893391,0.0239624716466716
"2007-10-01",22,20.6937497214468,0.017129676,0.0190604851918324
"2007-11-01",22.25,19.0429204260709,0.030974572,0.0299106953559103
"2007-12-01",15.75,19.2568184841659,0.028387847,0.0232831703115482
"2008-01-01",24.5,26.6521757893918,0.040737422,0.00347124655985002
"2008-02-01",24.25,19.5486667410106,0.070209108,0.0760119429105521
"2008-03-01",22,24.4638286865453,0.049872281,0.063886090106064
"2008-04-01",24.5,23.0039848941274,0.039525554,0.0380447278427901
"2008-05-01",22.25,21.5019609107283,0.047809896,0.0566935590599594
"2008-06-01",24.5,22.0249354507314,0.028851565,0.0404025391108849
"2008-07-01",20.5,19.3472469785158,0.030143621,0.0387736550164445
"2008-08-01",19,25.1695570098648,0.024288238,0.00932258340617302
"2008-09-01",27.25,28.044154084137,0.014715782,0.0237848626466716
"2008-10-01",35,33.6937497214468,0.034765502,0.0366963111918324
"2008-11-01",23.5,20.2929204260709,0.04474271,0.0436788333559103
"2008-12-01",22,25.5068184841659,0.033298182,0.0281935053115482
"2009-01-01",21.5,23.6521757893918,0.097044249,0.05977807355985
"2009-02-01",48,43.2986667410106,0.034933048,0.0407358829105521
"2009-03-01",25.5,27.9638286865453,0.044892287,0.058906096106064
"2009-04-01",55.5,54.0039848941274,0.023736511,0.0222556848427901
"2009-05-01",23,22.2519609107283,0.042976769,0.0518604320599594
"2009-06-01",24,21.5249354507314,0.035119896,0.0466708701108849
"2009-07-01",47,45.8472469785158,0.067825523,0.0764555570164445
"2009-08-01",17,23.1695570098648,0.038988206,0.024022551406173
"2009-09-01",22.25,23.044154084137,0.036442615,0.0455116956466716
"2009-10-01",24.5,23.1937497214468,0.033083599,0.0350144081918324
"2009-11-01",26.75,23.5429204260709,0.024247366,0.0231834893559103
"2009-12-01",19.75,23.2568184841659,0.058824673,0.0537199963115482
"2010-01-01",20.5,22.6521757893918,0.035493865,-0.00177231044014999
"2010-02-01",22.5,17.7986667410106,0.029606264,0.0354090989105521
"2010-03-01",24.75,27.2138286865453,0.048502683,0.062516492106064
"2010-04-01",21.75,20.2539848941274,0.094467416,0.0929865898427901
"2010-05-01",24.25,23.5019609107283,0.057662056,0.0665457190599594
"2010-06-01",20.5,18.0249354507314,0.108941375,0.120492349110885
"2010-07-01",43.75,42.5972469785158,0.046748726,0.0553787600164445
"2010-08-01",15.25,21.4195570098648,0.083497269,0.068531614406173
"2010-09-01",20.25,21.044154084137,0.046741136,0.0558102166466716
"2010-10-01",22.75,21.4437497214468,0.067694611,0.0696254201918324
"2010-11-01",20.5,17.2929204260709,0.050263818,0.0491999413559103
"2010-12-01",20.75,24.2568184841659,0.092082023,0.0869773463115482
"2011-01-01",22,24.1521757893918,0.098168274,0.06090209855985
"2011-02-01",35.25,30.5486667410106,0.0491111,0.0549139349105521
"2011-03-01",28,30.4638286865453,0.068342078,0.082355887106064
"2011-04-01",33,31.5039848941274,0.065919786,0.0644389598427901
"2011-05-01",45,44.2519609107283,0.050942957,0.0598266200599594
"2011-06-01",34.75,32.2749354507314,0.082683872,0.0942348461108849
"2011-07-01",21.25,20.0972469785158,0.094153532,0.102783566016444
"2011-08-01",34.25,40.4195570098648,0.159689405,0.144723750406173
"2011-09-01",22,22.794154084137,0.15185026,0.160919340646672
"2011-10-01",25.75,24.4437497214468,0.150752419,0.152683228191832
"2011-11-01",30.5,27.2929204260709,0.175437298,0.17437342135591
"2011-12-01",32.25,35.7568184841659,0.207269102,0.202164425311548
"2012-01-01",27,29.1521757893918,0.244913335,0.20764715955985
"2012-02-01",35.25,30.5486667410106,0.10776795,0.113570784910552
"2012-03-01",21.25,23.7138286865453,0.107100109,0.121113918106064
"2012-04-01",32,30.5039848941274,0.079069766,0.0775889398427901
"2012-05-01",31.75,31.0019609107283,0.09277079,0.101654453059959
"2012-06-01",49.25,46.7749354507314,0.143371234,0.154922208110885
"2012-07-01",27.25,26.0972469785158,0.158359128,0.166989162016444
"2012-08-01",28.75,34.9195570098648,0.097668695,0.082703040406173
"2012-09-01",31.5,32.294154084137,0.13162613,0.140695210646672
"2012-10-01",24.75,23.4437497214468,0.135953811,0.137884620191832
"2012-11-01",39.25,36.0429204260709,0.151619397,0.15055552035591
"2012-12-01",20.5,24.0068184841659,0.151270061,0.146165384311548
"2013-01-01",33.5,35.6521757893918,0.237893772,0.20062759655985
"2013-02-01",34.25,29.5486667410106,0.056706914,0.0625097489105521
"2013-03-01",22.5,24.9638286865453,0.055720457,0.069734266106064
"2013-04-01",31.5,30.0039848941274,0.254296607,0.25281578084279
"2013-05-01",31.25,30.5019609107283,0.205002066,0.213885729059959
"2013-06-01",23.5,21.0249354507314,0.055720457,0.0672714311108849
"2013-07-01",21,19.8472469785158,0.051205208,0.0598352420164445
"2013-08-01",16.5,22.6695570098648,0.070814579,0.055848924406173
"2013-09-01",38.25,39.044154084137,0.070754269,0.0798233496466716
"2013-10-01",33.25,31.9437497214468,0.11028722,0.112218029191832
"2013-11-01",33.25,30.0429204260709,0.075292309,0.0742284323559103
"2013-12-01",21,24.5068184841659,0.051630059,0.0465253823115482
"2014-01-01",23,25.1521757893918,0.089703548,0.05243737255985
"2014-02-01",23,18.2986667410106,0.060878859,0.0666816939105521
"2014-03-01",31.25,33.7138286865453,0.045143557,0.059157366106064
"2014-04-01",21.25,19.7539848941274,0.06452259,0.0630417638427901
"2014-05-01",22.75,22.0019609107283,0.028791247,0.0376749100599594
"2014-06-01",31.25,28.7749354507314,0.043600098,0.0551510721108849
"2014-07-01",19.5,18.3472469785158,0.0136595,0.0222895340164445
"2014-08-01",17.25,23.4195570098648,0.066579076,0.051613421406173
"2014-09-01",21.75,22.544154084137,0.074181655,0.0832507356466716
"2014-10-01",28.25,26.9437497214468,0.064409272,0.0663400811918324
"2014-11-01",45,41.7929204260709,0.067283775,0.0662198983559103
"2014-12-01",20.75,24.2568184841659,0.029215802,0.0241111253115482
"2015-01-01",24.25,26.4021757893918,0.054176261,0.01691008555985
"2015-02-01",34,29.2986667410106,0.105266062,0.111068896910552
"2015-03-01",23.25,25.7138286865453,0.058415624,0.072429433106064
"2015-04-01",23.5,22.0039848941274,0.043876513,0.0423956868427901
"2015-05-01",22,21.2519609107283,0.036704042,0.0455877050599594
"2015-06-01",33.75,31.2749354507314,0.04585391,0.0574048841108849
"2015-07-01",30.75,29.5972469785158,0.053644832,0.0622748660164445
"2015-08-01",16.75,22.9195570098648,0.084575245,0.069609590406173
"2015-09-01",22.75,23.544154084137,0.054707561,0.0637766416466716
"2015-10-01",40.5,39.1937497214468,0.047210196,0.0491410051918324
"2015-11-01",31.75,28.5429204260709,0.036183881,0.0351200043559103
"2015-12-01",40.25,43.7568184841659,0.04480293,0.0396982533115482
"2016-01-01",29.75,31.9021757893918,0.098144295,0.06087811955985
"2016-02-01",33,28.2986667410106,0.092616583,0.0984194179105521
"2016-03-01",24.25,26.7138286865453,0.063362593,0.077376402106064
"2016-04-01",22.75,21.2539848941274,0.041449341,0.0399685148427901
"2016-05-01",31,30.2519609107283,0.047573401,0.0564570640599594
"2016-06-01",31,28.5249354507314,0.051064432,0.0626154061108849
"2016-07-01",31.5,30.3472469785158,0.117650511,0.126280545016445
"2016-08-01",24.5,30.6695570098648,0.263422509,0.248456854406173
"2016-09-01",37.5,38.294154084137,0.068373388,0.0774424686466716
"2016-10-01",30,28.6937497214468,0.082472619,0.0844034281918324
